,LNR,Response
0,1754,0.03160175517059701
1,1770,0.035003605082956205
2,1465,0.0032453309315211647
3,1470,0.0028326317351230657
4,1478,0.001252739283713036
5,1782,0.0065988956359812
6,1485,0.002585942062134921
7,1519,0.02259414011348032
8,1835,0.02391379576960244
9,1522,0.008145284027694127
10,1539,0.006967083451321886
11,1853,0.03472833068707269
12,1856,0.028896583409027066
13,2182,0.035335599464061195
14,2191,0.02792331188335463
15,2522,0.029540932566137514
16,2530,0.03364495878710279
17,2215,0.001921862318610776
18,2550,0.03311752557964238
19,2570,0.00674649869415761
20,2574,0.001503703035221103
21,2579,0.006271495810239323
22,2247,0.0335926010311053
23,2674,0.006851636683239571
24,11434,0.004225649954952658
25,11122,0.028180108716746657
26,11127,0.032984626198006434
27,11443,0.031471598057754034
28,11191,0.00044861551061488097
29,11198,0.03218995098263066
30,11244,0.0055439248160367
31,11247,0.02737772225826369
32,11252,0.005827124158529498
33,10945,0.002623121878996334
34,10951,0.005714229508794478
35,11271,0.026521884805276216
36,10963,0.03372654064841878
37,11282,0.011039825571072522
38,11291,0.004731025191131001
39,10980,-0.001879824888317553
40,10994,-0.002248769014497654
41,11303,0.02557618089741219
42,11630,0.002749905465333441
43,11636,0.0018041623390160464
44,11949,0.007773856350890739
45,11950,0.02828057462298917
46,11956,0.03450399606939367
47,11653,0.025543078439524237
48,11967,0.0024482728108195964
49,11972,0.0025403948336961634
50,11975,0.005058750468365443
51,12110,0.004912931433419454
52,12113,0.032066139183410905
53,11712,0.0013860341528386861
54,12000,0.004685952402959948
55,11722,0.02527244206545586
56,12046,0.006143396042824087
57,12071,0.006152077981251251
58,12077,-0.002484934897029705
59,11785,0.030636566781861843
60,11788,0.00395309617900755
61,11790,-0.0004935690191378482
62,11800,0.026345353150262603
63,11806,-0.0004052564087244453
64,11816,-0.00021883895669109706
65,11505,0.0017089135408374727
66,11837,0.004849229502789283
67,11531,0.0321037976224089
68,11848,-0.00043810442165029284
69,11854,0.002235956442023374
70,11563,-0.00011866873760576081
71,11567,0.006510742083032648
72,11894,0.006476234667548965
73,11906,0.007908266210608276
74,11923,0.0023886656123641033
75,12596,0.002570374456155717
76,12603,0.0026217301921518613
77,12608,0.01084580062471264
78,12633,0.002041547828401782
79,12637,0.002245402605865306
80,21184,-0.0011047528086848874
81,21247,0.006221981371695304
82,20991,0.0280529580133324
83,21018,0.008635259748169888
84,21019,0.03306380198605194
85,21047,0.00039369156798614927
86,21054,-0.000829659398232764
87,21392,0.007362002245085843
88,21713,0.005288868367706176
89,22025,0.03472833068707269
90,21722,0.03186475707103416
91,22044,0.002306834080252401
92,61900,0.010653492556565778
93,62548,0.025293977857947257
94,63176,0.0022296569367007612
95,64473,0.031986107307699504
96,64779,0.036425328096385705
97,64780,0.0066478577033984645
98,64784,0.007374928169094758
99,65431,0.026971902302305405
100,65433,0.0360879996981777
101,66055,0.0025257865905094633
102,61280,0.026652624153800677
103,61281,0.02650218427238851
104,61284,-0.0008754732513398264
105,61597,0.007202859870379224
106,61606,-0.0004991185395792476
107,62235,0.03610707266313256
108,62240,0.0020895500243188693
109,62241,0.0020187537348771226
110,62555,0.030674484668567474
111,62565,0.005403808354114282
112,63515,0.008423520836014676
113,63524,0.03353697579202938
114,64797,0.005490527559849613
115,75249,0.0050857196115576455
116,75253,0.03475974260628569
117,76212,0.004877780939499664
118,71422,0.002471479798988314
119,72059,0.025041236810688886
120,72060,0.0023864880588266653
121,72383,0.004415017364284899
122,72386,0.005709366308148984
123,72700,0.01153032440517955
124,72715,-0.0025955562725409817
125,73028,0.004405733026296887
126,73346,0.005986043521007711
127,73658,0.005849014069752037
128,73662,0.03303182143584503
129,73985,0.032065116468159315
130,74299,0.0033917318321302725
131,74310,0.032997744781163324
132,74312,0.031733366260441126
133,74619,0.007889616383458304
134,74620,0.0052945561316489285
135,74627,0.002307933434007703
136,74938,0.004385721665009867
137,74952,0.007068012604002406
138,75911,0.007043338747669859
139,75913,0.0016685623269607813
140,76221,0.0017061552813794805
141,76227,0.0023112652900916324
142,71448,0.000981793378943315
143,15887,-0.0009568673535971874
144,15498,0.002926330911719692
145,15504,0.03340726249991405
146,15507,0.006891977628001303
147,15521,0.0035592135878073565
148,24403,0.007615184218588171
149,24100,0.02657655840502958
150,24436,0.004142799448967013
151,24440,0.002113145860284751
152,24148,0.0071654749963126554
153,24149,0.00215322436573517
154,24155,0.0028638667281306192
155,24458,0.0033283751426563695
156,24169,0.028452550296892736
157,24477,0.03818435163967126
158,24479,0.0050647264553007965
159,24486,0.010022564269256998
160,24190,0.025293977857947257
161,24515,0.033274345597852154
162,24214,0.031159937263732784
163,25207,0.004921993906874636
164,24889,0.028180108716746657
165,25244,-0.001276728482588454
166,25339,0.00457160389755107
167,25355,0.0342186046069742
168,24958,0.00044861551061488097
169,25277,0.007366091253264416
170,25298,0.0050351357867853
171,25309,0.0361928547701713
172,25315,0.0065988956359812
173,25322,-0.00032232296063040464
174,25333,0.030325705842691623
175,24726,0.0081886665273908
176,25055,0.005889999239787131
177,25056,0.0018916050662042155
178,24746,0.031012835782027064
179,25061,0.006639236580742932
180,25067,0.004864433877964718
181,25074,0.004656274881128528
182,24773,0.004283956106775311
183,25086,0.026598094197520974
184,25088,0.004143022613725565
185,24777,0.004412251374689824
186,24796,0.005096786524955524
187,25104,0.006056345864337918
188,24806,0.0028369556438196104
189,25118,0.005447648320101542
190,82811,0.03038821473905275
191,83449,0.0360879996981777
192,84091,0.004615052152060029
193,84096,-0.0005211785924641325
194,84737,0.021213958025135503
195,85049,0.030607936463404983
196,85051,0.008574297667705668
197,85369,0.005001267473472362
198,85374,0.004488683931693134
199,85380,0.030254357040772818
200,82190,-0.0014988508259505783
201,82515,0.004892052749933409
202,788,0.003906341026314019
203,1102,0.0025275720233781233
204,1109,0.0054891930003105206
205,821,0.005240249340127779
206,829,-0.00043810442165029284
207,837,0.032163881959942076
208,1163,0.033274345597852154
209,899,0.0047812021716110735
210,1207,0.028180108716746657
211,906,0.005236176792029444
212,1221,0.033450692668009846
213,1545,0.004694646546871177
214,1546,0.03587466061412988
215,1555,0.008050615033731329
216,1556,0.03342478547926432
217,1879,0.0056676537316664565
218,1885,0.02648062089864868
219,1593,0.00021452395135379803
220,1902,0.028313025618808555
221,1611,0.00422659651472686
222,1921,0.00016906453217714005
223,1927,0.027715455395282335
224,1651,0.003719428096704038
225,1978,0.03330774662662349
226,1718,0.0023191384132282065
227,1722,0.005114175093295532
228,1734,0.02606669345948546
